time,rain_fall,temp,humidity,wind_direction,wind_speed,rain_now,rain_next_hour
1/8/2017 7:00,0,24.2,95.0,NW,1,No,No
1/8/2017 8:00,0,24.8,94.0,NA,NA,No,Yes
1/8/2017 9:00,0.1,25.6,88.0,NA,NA,Yes,No
1/8/2017 10:00,0,26.6,85.0,NA,NA,No,Yes
1/8/2017 11:00,0.3,26.6,76.0,NA,NA,Yes,No
1/8/2017 12:00,0,26.7,73.0,NA,NA,No,No
1/8/2017 13:00,0,27.3,81.0,E,2,No,No
1/8/2017 14:00,0,27.7,72.0,NA,NA,No,No
1/8/2017 15:00,0,26.7,73.0,NA,NA,No,No
1/8/2017 16:00,0,26,76.0,NA,NA,No,No
1/8/2017 17:00,0,25.6,81.0,NA,NA,No,No
1/8/2017 18:00,0,25,83.0,NA,NA,No,No
1/8/2017 19:00,0,24.7,87.0,Unknown,0,No,No
1/8/2017 20:00,0,24.5,89.0,NA,NA,No,No
1/8/2017 21:00,0,24.1,90.0,NA,NA,No,Yes
1/8/2017 22:00,0.1,23.6,91.0,NA,NA,Yes,No
1/8/2017 23:00,0,23.5,91.0,NA,NA,No,No
1/9/2017 0:00,0,23.3,90.0,NA,NA,No,No
1/9/2017 1:00,0,22.9,91.0,NNW,1,No,No
1/9/2017 2:00,0,22.7,92.0,NA,NA,No,No
1/9/2017 3:00,0,22.8,93.0,NA,NA,No,No
1/9/2017 4:00,0,22.7,92.0,NA,NA,No,Yes
1/9/2017 5:00,0.1,22.8,90.0,NA,NA,Yes,No
1/9/2017 6:00,0,22.8,88.0,NA,NA,No,Yes
1/9/2017 7:00,0.7,23,83.0,WNW,1,Yes,No
1/9/2017 8:00,0,24.6,74.0,NA,NA,No,No
1/9/2017 9:00,0,25.4,70.0,NA,NA,No,No
1/9/2017 10:00,0,26.2,68.0,NA,NA,No,Yes
1/9/2017 11:00,0.1,25.9,66.0,NA,NA,Yes,No
1/9/2017 12:00,0,26.8,68.0,NA,NA,No,No
1/9/2017 13:00,0,26.9,68.0,NE,1,No,No
